age,sex,race,marital_status,relationship_label,functional_weight,education,workclass,occupation,capital_gain,capital_loss,hours_per_week,native_country,target
1.45,0.0,0.0,0.0,-0.3333333333333333,-1.1909682614238744,0.0,-2.0,-0.5714285714285714,0.0,2267.0,0.0,0.0,0.0
-0.25,0.0,0.0,1.0,0.0,-0.29927699120982354,0.0,0.0,-0.5714285714285714,0.0,0.0,0.0,0.0,0.0
-0.45,-1.0,-2.0,1.0,0.0,-0.14484499765147957,1.3333333333333333,0.0,-0.42857142857142855,0.0,0.0,1.0,-16.0,0.0
0.1,0.0,0.0,1.0,0.0,-1.2263470442192848,0.3333333333333333,0.0,0.42857142857142855,0.0,0.0,4.0,0.0,0.0
-0.3,0.0,0.0,-1.0,0.6666666666666666,1.4159061933838823,1.3333333333333333,0.0,-0.5714285714285714,4650.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,-0.3333333333333333,-0.4328155404952023,0.3333333333333333,0.0,0.42857142857142855,15024.0,0.0,0.0,0.0,1.0
0.25,0.0,0.0,-1.0,0.0,-1.3214369590015433,0.0,0.0,-0.5714285714285714,0.0,0.0,7.0,0.0,1.0
0.2,-1.0,0.0,2.0,0.0,0.9336459102194189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.5,0.0,0.0,1.0,1.0,0.024525263369791318,0.3333333333333333,0.0,-0.14285714285714285,0.0,0.0,-2.0,0.0,0.0
-0.55,0.0,-2.0,1.5,0.0,-0.17932631013889822,-1.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
0.65,-1.0,0.0,-1.0,0.0,0.6674578943836811,1.3333333333333333,0.0,-0.8571428571428571,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,-0.3333333333333333,-0.8119841642622291,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,0.0,-0.3333333333333333,0.15221767429376637,-0.3333333333333333,2.0,0.42857142857142855,0.0,0.0,-3.4,0.0,0.0
1.75,0.0,-2.0,-1.0,0.0,0.8867677648795544,-2.6666666666666665,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
0.8,0.0,-2.0,1.0,0.0,0.4643863651613769,-1.3333333333333333,-2.0,-0.8571428571428571,0.0,0.0,0.0,0.0,0.0
1.1,-1.0,0.0,0.0,0.3333333333333333,0.7589411527880292,1.3333333333333333,0.0,-0.8571428571428571,0.0,0.0,-4.8,0.0,1.0
1.65,0.0,0.0,0.0,-0.3333333333333333,-0.39669865127826615,-2.0,0.0,0.14285714285714285,0.0,0.0,-3.0,0.0,0.0
1.15,0.0,0.0,0.0,-0.3333333333333333,0.12479869824867476,-1.3333333333333333,0.0,-0.8571428571428571,0.0,0.0,-3.2,0.0,0.0
0.65,0.0,0.0,0.0,-0.3333333333333333,-0.8629470576394015,0.0,0.0,-0.5714285714285714,4386.0,0.0,0.0,-39.0,0.0
-0.85,-1.0,0.0,1.0,0.6666666666666666,0.6805676709387372,1.3333333333333333,0.0,0.7142857142857143,0.0,0.0,-4.0,0.0,0.0
-0.6,-1.0,0.0,0.5,1.0,-1.1952459236395356,1.3333333333333333,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,0.0,-0.3333333333333333,0.3326427564919815,1.3333333333333333,0.0,0.0,0.0,0.0,1.6,0.0,0.0
1.85,-1.0,0.0,2.0,0.0,-0.4066043749580621,0.0,0.0,-0.8571428571428571,15831.0,0.0,0.0,0.0,1.0
0.2,0.0,0.0,0.0,-0.3333333333333333,-1.0159280010736094,-0.6666666666666666,0.0,0.7142857142857143,0.0,0.0,6.0,0.0,0.0
-0.25,0.0,0.0,-1.0,0.6666666666666666,0.29208045359994633,1.3333333333333333,0.0,-0.5714285714285714,0.0,0.0,0.0,0.0,1.0
-1.0,-1.0,0.0,1.0,0.6666666666666666,0.07702308260081862,-3.3333333333333335,-4.0,-1.0,0.0,0.0,-6.0,0.0,0.0
-0.45,0.0,0.0,0.0,-0.3333333333333333,1.4946571160169093,1.3333333333333333,0.0,-0.42857142857142855,0.0,0.0,1.6,0.0,0.0
0.75,0.0,0.0,0.0,-0.3333333333333333,0.6794521237334765,0.0,0.0,-0.5714285714285714,0.0,0.0,2.0,0.0,1.0
-0.8,0.0,0.0,1.0,0.6666666666666666,-0.7481882842380728,-3.3333333333333335,0.0,0.14285714285714285,0.0,0.0,0.4,-31.0,0.0
0.0,0.0,-2.0,-1.0,0.0,1.4810189223646246,-1.3333333333333333,3.0,0.5714285714285714,0.0,0.0,-0.4,0.0,0.0
-0.1,-1.0,0.0,1.0,0.0,0.8802673958263437,-0.6666666666666666,0.0,-0.42857142857142855,0.0,0.0,0.0,0.0,0.0
-0.05,0.0,0.0,-1.0,1.0,-1.2322854458833792,0.0,0.0,1.0,0.0,0.0,0.6,-39.0,0.0
-0.5,0.0,0.0,1.0,0.0,-0.10070120110044957,0.0,0.0,0.7142857142857143,0.0,0.0,2.0,0.0,0.0
-0.1,-1.0,0.0,-1.0,0.0,0.7734684291753339,-0.6666666666666666,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,1.0
-0.9,0.0,0.0,1.0,0.6666666666666666,-0.8950043615379454,0.0,0.0,-0.2857142857142857,0.0,0.0,0.0,0.0,0.0
-0.95,0.0,0.0,1.0,0.6666666666666666,-0.5714117962826276,-3.6666666666666665,0.0,0.14285714285714285,0.0,0.0,-5.8,0.0,0.0
0.7,0.0,0.0,-1.0,0.0,1.1173337583036973,0.0,2.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.3333333333333333,0.8410722673287258,-1.6666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.15,0.0,0.0,1.0,0.0,1.1868248003757633,-0.3333333333333333,0.0,0.42857142857142855,0.0,0.0,0.0,-3.0,1.0
-0.9,-1.0,0.0,1.0,0.6666666666666666,0.15959873850902503,1.3333333333333333,0.0,0.14285714285714285,0.0,0.0,-6.0,0.0,0.0
0.55,0.0,0.0,0.0,-0.3333333333333333,0.7415285512983963,1.3333333333333333,0.0,-0.5714285714285714,0.0,0.0,1.0,0.0,1.0
0.7,0.0,0.0,0.0,-0.3333333333333333,0.5325018452660538,0.6666666666666666,-2.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
-0.55,0.0,0.0,0.0,-0.3333333333333333,0.29582131114540694,-1.3333333333333333,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,-1.0,0.0,0.21884016640944776,1.3333333333333333,1.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0
-0.3,0.0,0.0,1.0,0.0,0.284162584714487,1.3333333333333333,0.0,0.7142857142857143,0.0,0.0,1.0,0.0,0.0
1.75,0.0,0.0,-1.0,0.0,-0.16996577870227472,-0.6666666666666666,0.0,0.7142857142857143,0.0,0.0,-2.0,0.0,0.0
0.05,0.0,0.0,0.0,-0.3333333333333333,0.42485573374488356,0.0,0.0,0.14285714285714285,0.0,0.0,1.0,0.0,0.0
1.1,-1.0,0.0,2.0,0.0,0.9732855800845467,0.3333333333333333,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0
-0.65,0.0,0.0,0.0,-0.3333333333333333,0.3196755686774475,0.0,0.0,0.0,0.0,1579.0,2.0,0.0,0.0
0.6,0.0,0.0,0.0,-0.3333333333333333,-0.012933637522646447,1.3333333333333333,0.0,-0.5714285714285714,0.0,0.0,2.0,-37.0,0.0
-0.85,0.0,0.0,1.0,0.6666666666666666,-0.02756995235858552,1.3333333333333333,0.0,-0.8571428571428571,0.0,0.0,0.0,2.0,0.0
1.0,0.0,0.0,0.0,-0.3333333333333333,-0.42464604442058645,-0.6666666666666666,0.0,-0.42857142857142855,15024.0,0.0,2.0,0.0,1.0
0.35,0.0,0.0,-1.0,0.0,1.0406294034758103,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
-0.4,0.0,0.0,0.0,-0.3333333333333333,0.13909951016573843,-0.6666666666666666,0.0,-0.42857142857142855,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,-0.3333333333333333,-0.482444809769845,0.0,2.0,-0.5714285714285714,0.0,2042.0,1.6,0.0,0.0
0.5,0.0,0.0,0.0,-0.3333333333333333,-0.8373062470643494,-0.6666666666666666,0.0,0.7142857142857143,0.0,0.0,4.0,0.0,1.0
1.55,0.0,0.0,0.0,-0.3333333333333333,0.6451721129973831,1.3333333333333333,-4.0,-1.0,0.0,0.0,1.6,0.0,1.0
0.8,0.0,-2.0,1.0,0.0,0.4007498490236865,-1.6666666666666667,0.0,-0.5714285714285714,0.0,0.0,0.0,-16.0,0.0
-0.95,-1.0,0.0,1.0,0.6666666666666666,0.7468546601355431,-3.0,-4.0,-1.0,0.0,0.0,-5.6,0.0,0.0
-0.45,0.0,0.0,1.0,0.0,0.2587482386096759,-0.6666666666666666,0.0,0.42857142857142855,0.0,0.0,4.0,0.0,1.0
-0.3,0.0,-2.0,1.0,0.0,0.3483107428034624,0.0,-2.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0
0.1,-1.0,0.0,1.0,0.0,0.9050610615312353,0.3333333333333333,1.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0
0.65,-1.0,-2.0,1.5,1.0,-0.7161896933503321,-2.6666666666666665,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0
1.25,-1.0,0.0,0.0,1.3333333333333333,-0.1951117224719855,-1.0,0.0,-0.42857142857142855,0.0,0.0,1.0,0.0,1.0
0.3,0.0,0.0,0.0,-0.3333333333333333,0.014594376971079648,-1.0,0.0,-0.5714285714285714,0.0,0.0,2.0,0.0,1.0
-0.55,0.0,0.0,1.0,0.0,0.09422599476615447,1.3333333333333333,0.0,-0.8571428571428571,0.0,0.0,-2.0,0.0,0.0
0.25,-1.0,0.0,-1.0,0.6666666666666666,0.11776991209823526,1.3333333333333333,3.0,-0.8571428571428571,0.0,0.0,-0.4,0.0,0.0
-0.95,-1.0,0.0,1.0,0.6666666666666666,-0.06096088035965913,1.3333333333333333,0.0,0.7142857142857143,0.0,0.0,-6.0,0.0,0.0
0.75,-1.0,0.0,0.0,1.3333333333333333,0.16696302757833995,0.0,4.0,-0.8571428571428571,0.0,0.0,-2.0,0.0,0.0
-0.05,0.0,0.0,0.0,-0.3333333333333333,1.1987351539958397,-0.6666666666666666,2.0,-0.2857142857142857,0.0,0.0,2.0,0.0,0.0
-0.6,-1.0,-2.0,1.0,0.3333333333333333,1.8419613500637455,0.0,0.0,-0.8571428571428571,0.0,0.0,0.0,0.0,0.0
-0.7,-1.0,0.0,1.0,0.0,0.6012296181976783,1.3333333333333333,0.0,-0.2857142857142857,0.0,0.0,2.0,0.0,0.0
-0.35,0.0,0.0,1.0,0.6666666666666666,1.2671022612896732,1.3333333333333333,0.0,0.5714285714285714,0.0,0.0,1.6,0.0,0.0
0.35,0.0,0.0,-1.0,0.6666666666666666,-0.17397503858283567,0.0,0.0,0.7142857142857143,0.0,0.0,-0.4,0.0,0.0
0.2,0.0,0.0,0.0,-0.3333333333333333,-0.545460645507616,0.0,0.0,-0.14285714285714285,0.0,0.0,0.0,0.0,0.0
-0.65,0.0,-4.0,1.0,1.0,0.6793514728578138,1.3333333333333333,0.0,-0.5714285714285714,0.0,0.0,0.0,-13.0,0.0
0.6,0.0,0.0,0.0,-0.3333333333333333,0.46369019660471045,-3.3333333333333335,0.0,0.14285714285714285,0.0,0.0,2.0,0.0,0.0
0.45,-1.0,0.0,-1.0,1.0,-0.37526001476212845,1.3333333333333333,0.0,-0.8571428571428571,0.0,0.0,0.0,0.0,0.0
1.15,-1.0,0.0,0.5,1.0,0.04936925451251426,0.0,0.0,0.14285714285714285,0.0,0.0,-4.0,0.0,0.0
0.6,0.0,0.0,0.0,-0.3333333333333333,-0.9500520029524256,0.3333333333333333,0.0,-0.42857142857142855,15024.0,0.0,2.0,0.0,1.0
-0.3,0.0,0.0,-1.0,0.0,-0.37320505938401666,-1.3333333333333333,0.0,-0.42857142857142855,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,-0.3333333333333333,-0.050954505804200495,0.0,0.0,1.0,0.0,2051.0,2.0,0.0,0.0
-0.3,0.0,0.0,0.0,-0.3333333333333333,0.02294001207810508,-0.6666666666666666,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,1.0
0.3,0.0,0.0,0.0,-0.3333333333333333,0.1674159565188217,-0.6666666666666666,1.0,-0.42857142857142855,0.0,0.0,2.0,0.0,1.0
0.55,0.0,0.0,0.0,-0.3333333333333333,0.3241209823525465,0.0,0.0,-0.5714285714285714,0.0,0.0,0.0,0.0,1.0
0.0,-1.0,0.0,0.5,0.0,-0.017303563040998456,1.3333333333333333,0.0,0.42857142857142855,0.0,0.0,-2.0,0.0,0.0
